PROJECT_ID,LATIN_NAME,STATION_CODE,STATION_NAME,LONGITUDE,LATITUDE,PARAM,N,Conc,SPECIES_ID,TISSUE_NAME,NIVA_CODE,trend
3699,Mytilus edulis,69A,Terøya, Outer Hardangerfjord,5.7545,59.984,HG,NA,0.016,17,Whole soft body,SB,1
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,HG,NA,0.032,17,Whole soft body,SB,1
3699,Mytilus edulis,76A2,Risøya, Risør,9.28104,58.7327,HG,NA,0.018,17,Whole soft body,SB,1
3699,Mytilus edulis,91A2,Ørland area, Outer Trondheimsfjord,9.56386,63.651438,HG,NA,0.013,17,Whole soft body,SB,1
3699,Mytilus edulis,97A2,Mjelle, Bodø area,14.621928,67.41271,HG,NA,0.018,17,Whole soft body,SB,1
3699,Mytilus edulis,97A3,NA,NA,NA,HG,NA,0.01,17,Whole soft body,SB,0
3699,Mytilus edulis,98A2,Svolvær airport area,14.6627,68.24917,HG,NA,0.021,17,Whole soft body,SB,1
3699,Mytilus edulis,I023,Singlekalven, Hvaler,11.136779,59.095112,HG,NA,0.019,17,Whole soft body,SB,1
3699,Mytilus edulis,I024,Kirkøy, Hvaler,10.987336,59.079053,HG,NA,0.03,17,Whole soft body,SB,1
3699,Mytilus edulis,I131A,Lastad, Søgne,7.7083,58.05557,HG,NA,0.015,17,Whole soft body,SB,1
3699,Mytilus edulis,I133,Odderøya, Kristiansand harbour,8.00166666666667,58.1316666666667,HG,NA,0.025,17,Whole soft body,SB,1
3699,Mytilus edulis,I241,Nordnes, Bergen harbour,5.303955,60.4007721666667,HG,NA,0.021,17,Whole soft body,SB,1
3699,Mytilus edulis,I301,Akershuskaia, Inner Oslofjord,10.7363333333333,59.9053333333333,HG,NA,0.012,17,Whole soft body,SB,1
3699,Mytilus edulis,I304,Gåsøya, Inner Oslofjord,10.589,59.8513333333333,HG,NA,0.016,17,Whole soft body,SB,2
3699,Mytilus edulis,I306,Håøya, Inner Oslofjord,10.5551666666667,59.7133333333333,HG,NA,0.016,17,Whole soft body,SB,2
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,HG,NA,0.033,17,Whole soft body,SB,0
3699,Mytilus edulis,I964,NA,NA,NA,HG,NA,0.013,17,Whole soft body,SB,1
